pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
63,S01,S01_1,S01_2,S,10,manual_external,0.0069123301655054,11.571999875828624,11.57891220599413,3.395974636077881e-05,443,0,24,24,0.2652509877817847,0.0,0.1,1.0,0.1,1.0,0.0,0.245005190372467,0.05,1.65,256,fixed,14.5481451342701,14.580920338430548,14.146679760635902,16.536006018065432,0.0402744829970511,-0.0022528785530355
63,S01,S01_1,S01_2,S,10,predict_pair_full,0.0065580178052186,7.379984557628632,7.38654257543385,0.0990250427275896,272,0,24,24,0.265233686993198,0.0,0.1046684566743434,1.582753425345888,0.1046684566743434,1.582753425345888,0.0,0.245005190372467,0.05,1.65,256,pair_full,14.5481451342701,14.580967077488753,14.14661434782622,16.536007066416893,0.04027461209668,-0.0022560912690052
63,S01,S01_1,S01_2,S,10,fixed_1_18,0.0062190964818,39.78182180970907,39.78804090619087,3.3037737011909485e-05,1619,0,24,24,0.265286351534342,0.0,1.0,1.8,1.0,1.8,0.0,0.245005190372467,0.05,1.65,256,fixed,14.5481451342701,14.580784043704426,14.146981795512549,16.536030312725376,0.0402741065325,-0.0022435100235862
63,S01,S01_1,S01_2,S,10,residual_balance,0.0068507734686136,38.27347640134394,38.28032717481256,4.729442298412323e-05,1532,0,24,24,0.2653380040657397,0.0,1.0,1.0,1.0,1.0,0.0,0.245005190372467,0.05,1.65,256,fixed,14.5481451342701,14.580592456905332,14.147305636257313,16.53604176181289,0.0402735773437311,-0.0022303408671526
63,S01,S01_1,S01_2,S,10,adaptive_bb_proxy,0.0064654313027858,20.813243318349123,20.81970874965191,3.809481859207153e-05,665,0,24,24,0.2652263425964108,0.0,1.0,1.0,1.0,1.0,0.0,0.245005190372467,0.05,1.65,256,fixed,14.5481451342701,14.580980635011418,14.146575394011908,16.53600540989089,0.0402746495443996,-0.0022570231763061
64,S02,S02_1,S02_2,S,10,manual_external,0.0289304796606302,17.08691668882966,17.11584716849029,4.871748387813568e-05,452,0,24,24,0.5578880713447794,0.0,0.1,1.0,0.1,1.0,0.0,0.2584714293479919,0.05,1.65,256,fixed,6.714483051694021,6.65589903476444,6.294512671387674,9.293200521904993,0.018384497431152,0.0087250226829885
64,S02,S02_1,S02_2,S,10,predict_pair_full,0.0289216004312038,10.396757567301393,10.425679167732596,0.1363334506750106,269,0,24,24,0.5578973665985627,0.0,0.1071162356537715,1.59074270790548,0.1071162356537715,1.59074270790548,0.0,0.2584714293479919,0.05,1.65,256,pair_full,6.714483051694021,6.655873521909193,6.294474898252032,9.29318433712255,0.0183844269611796,0.0087288223582652
64,S02,S02_1,S02_2,S,10,fixed_1_18,0.0061934683471918,50.932905623689294,50.939099092036486,3.8508325815200806e-05,1549,0,24,24,0.5577686602999834,0.0,1.0,1.8,1.0,1.8,0.0,0.2584714293479919,0.05,1.65,256,fixed,6.714483051694021,6.656381928354589,6.295022170340042,9.293491322226414,0.0183858312488559,0.0086531044747762
64,S02,S02_1,S02_2,S,10,residual_balance,0.0261836908757686,47.35480062663555,47.38098431751132,3.640912473201752e-05,1460,0,24,24,0.5576377106940138,0.0,1.0,1.0,1.0,1.0,0.0,0.2584714293479919,0.05,1.65,256,fixed,6.714483051694021,6.656805450013685,6.295536806151415,9.293755904449364,0.0183870010732197,0.0085900286347101
64,S02,S02_1,S02_2,S,10,adaptive_bb_proxy,0.0322695467621088,25.115724639967084,25.147994186729193,4.737824201583862e-05,650,0,24,24,0.5579144394736205,0.0,1.0,1.0,1.0,1.0,0.0,0.25847142934799194,0.05,1.6500000000000001,256,fixed,6.714483051694021,6.655815003683258,6.294409070865077,9.293148072459005,0.018384265325889052,0.008737537582577226
