pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
22,P09,P09_1,P09_2,P,10,fixed_1_1,0.0033124182373285,6.3330977112054825,6.336410129442811,2.7798116207122803e-05,2363,0,19,19,0.0523265230468837,0.0,50.27271320097208,50.698387168172616,50.099396294644336,52.08991627493163,0.280071666889343,-0.0084672964734933
22,P09,P09_1,P09_2,P,10,fixed_1_18,0.0033124182373285,3.8494282979518175,3.852740716189146,2.584233880043029e-05,1405,0,19,19,0.0521562092622144,0.0,50.27271320097208,50.69834857048008,50.09933424967478,52.089934398830565,0.2800714536652013,-0.0084665287072422
22,P09,P09_1,P09_2,P,10,residual_balance,0.0033124182373285,3.786425828933716,3.789738247171044,2.5911256670951843e-05,1364,0,19,19,0.0523208797014089,0.0,50.27271320097208,50.69837893158963,50.09938887639849,52.089912862884496,0.2800716213882204,-0.0084671326354495
22,P09,P09_1,P09_2,P,10,adaptive_bb_proxy,0.0033124182373285,1.715847324579954,1.719159742817283,2.517923712730408e-05,562,0,19,19,0.0519842396784175,0.0,50.27271320097208,50.6982941502588,50.09925863333916,52.08994175520821,0.2800711530331115,-0.0084654462070585
23,P10,P10_1,P10_2,P,10,fixed_1_1,0.0021946001797914,8.134406508877873,8.136601109057665,2.210773527622223e-05,1866,0,12,14,0.0529215298196545,0.0,42.22404511405402,42.75643359021779,42.94464620924852,46.667459145384704,0.2361981572734006,-0.012608656388195
23,P10,P10_1,P10_2,P,10,fixed_1_18,0.0021946001797914,4.701793836429715,4.703988436609507,2.2619962692260746e-05,1104,0,12,14,0.0532218955657102,0.0,42.22404511405402,42.75625070639575,42.944462403085566,46.6674838909659,0.236197146973473,-0.0126043251162493
23,P10,P10_1,P10_2,P,10,residual_balance,0.0021946001797914,3.959358984604478,3.961553584784269,2.2467225790023804e-05,1058,0,12,14,0.0529431770489168,0.0,42.22404511405402,42.75640684418107,42.9446219464054,46.66744709323123,0.2361980095210261,-0.0126080229567782
23,P10,P10_1,P10_2,P,10,adaptive_bb_proxy,0.0021946001797914,1.481545204296708,1.4837398044764996,2.270564436912537e-05,407,0,12,14,0.0535531172289032,0.0,42.22404511405402,42.75598807989753,42.94423871585081,46.66749953244962,0.2361956961533338,-0.0125981052835091
24,P11,P11_1,P11_2,P,10,fixed_1_1,0.0026264898478984,10.303120125085115,10.305746614933014,3.733113408088684e-05,2713,0,20,20,0.0504385852453058,0.0,41.20172832760336,40.848290429385045,40.6531114358787,42.023035695827154,0.2256570559569977,0.008578229908441
24,P11,P11_1,P11_2,P,10,fixed_1_18,0.0026264898478984,5.635636305436492,5.6382627952843904,3.597140312194824e-05,1608,0,20,20,0.0507555998668683,0.0,41.20172832760336,40.848078068825686,40.652895360261695,42.02280694122639,0.2256558828195635,0.008583384074734
24,P11,P11_1,P11_2,P,10,residual_balance,0.0026264898478984,5.386357335373759,5.388983825221658,3.585405647754669e-05,1524,0,20,20,0.0504649617807204,0.0,41.20172832760336,40.848271564923664,40.65309429838887,42.02301724115365,0.225656951744587,0.0085786877645104
24,P11,P11_1,P11_2,P,10,adaptive_bb_proxy,0.0026264898478984,2.348907558247447,2.351534048095345,3.3795833587646484e-05,589,0,20,20,0.0511198033954779,0.0,41.20172832760336,40.84783127969772,40.65264739252012,42.02253506312763,0.2256545194893611,0.0085893738508426
25,P12,P12_1,P12_2,P,10,fixed_1_1,0.0024954210966825,8.058901874348521,8.061397295445204,3.505684435367584e-05,2647,0,20,20,0.0536533738159891,0.0,41.972350734075846,42.26896573464377,42.3273172463068,43.78624949524446,0.2335052523805345,-0.0070669141799128
25,P12,P12_1,P12_2,P,10,fixed_1_18,0.0024954210966825,6.388457419350743,6.390952840447426,3.421492874622345e-05,1568,0,20,20,0.0536468688045695,0.0,41.972350734075846,42.26894756443604,42.32729499833265,43.78628207649008,0.2335051520033697,-0.0070664812709284
25,P12,P12_1,P12_2,P,10,residual_balance,0.0024954210966825,5.710363503545523,5.712858924642205,3.563985228538513e-05,1493,0,20,20,0.0536534814390734,0.0,41.972350734075846,42.268965231950645,42.32731532034807,43.78625130488607,0.2335052496035211,-0.0070669022031444
25,P12,P12_1,P12_2,P,10,adaptive_bb_proxy,0.0024954210966825,2.017351360991597,2.01984678208828,3.3332034945487976e-05,593,0,20,20,0.0536342645260329,0.0,41.972350734075846,42.26895477800475,42.32728424158304,43.78632813974664,0.2335051918530833,-0.0070666531357055
26,P13,P13_1,P13_2,P,10,fixed_1_1,0.0023703873157501,10.89381535165012,10.896185738965867,3.5647302865982056e-05,2449,0,19,20,0.0500111660014912,0.0,47.30455479833968,46.452330316810034,46.37636617510619,48.41937347680548,0.2566152950697954,0.0180156960606369
26,P13,P13_1,P13_2,P,10,fixed_1_18,0.0023703873157501,5.062582444399595,5.064952831715345,3.60533595085144e-05,1384,0,19,19,0.0557999176812191,0.0,47.30455479833968,46.453189279378094,46.37636952166923,48.41907732521672,0.2566200402124256,0.017997537924032
26,P13,P13_1,P13_2,P,10,residual_balance,0.0023703873157501,5.285043900832534,5.287414288148284,3.454089164733887e-05,1398,0,19,20,0.0500040552305453,0.0,47.30455479833968,46.45230365534295,46.37634972126095,48.41935976188247,0.2566151477846066,0.0180162596737434
26,P13,P13_1,P13_2,P,10,adaptive_bb_proxy,0.0023703873157501,2.0449733398854733,2.047343727201224,3.441609442234039e-05,561,0,19,19,0.0556587561913641,0.0,47.30455479833968,46.45269753424145,46.37609864978607,48.41887985596133,0.2566173236786698,0.0180079332261068
27,P14,P14_1,P14_2,P,10,fixed_1_1,0.0024572238326072,12.64266369305551,12.645120916888118,4.607252776622772e-05,2523,0,21,21,0.0514912335580021,0.0,50.361061303645165,50.39339207613705,50.347697243618704,51.272220352480254,0.2783867911252261,-0.0006419795702068
27,P14,P14_1,P14_2,P,10,fixed_1_18,0.0024572238326072,14.59430718794465,14.596764411777258,3.8605183362960815e-05,1507,0,21,21,0.0514533267967703,0.0,50.361061303645165,50.39324921433612,50.34752613121323,51.27190766949831,0.2783860019178182,-0.0006391428190102
27,P14,P14_1,P14_2,P,10,residual_balance,0.0024572238326072,12.984517948701978,12.986975172534583,3.7388876080513e-05,1499,0,21,21,0.0514935094792777,0.0,50.361061303645165,50.39338479955411,50.34768845256483,51.27220587250822,0.2783867509274046,-0.0006418350819308
27,P14,P14_1,P14_2,P,10,adaptive_bb_proxy,0.0024572238326072,7.11456367187202,7.117020895704627,3.6075711250305176e-05,650,0,21,21,0.0514371911345145,0.0,50.361061303645165,50.393095370026906,50.34734007551169,51.271571864726965,0.2783851520400502,-0.0006360879924192
28,P15,P15_1,P15_2,P,10,fixed_1_1,0.0023946166038513,21.75232073664665,21.754715353250504,3.235042095184326e-05,2362,0,18,19,0.054507141707969,0.0,79.26857657014091,78.47882885503591,78.32078167787316,79.5830481115744,0.4335383754919874,0.00996293549446
