repetition,category,case,method,total_seconds,tuning_seconds,total_inner_iterations,mse_after
0,histology_ihc,3,predict_pair_full,1.5627300683408976,0.023582739755511284,184,0.0052322839782276125
0,histology_ihc,3,manual_global,2.7404597643762827,1.8535181879997253e-05,365,0.005232580163285997
0,histology_ihc,4,manual_global,2.19882720336318,1.718476414680481e-05,324,0.0068323482623073506
0,histology_ihc,4,predict_pair_full,1.2140186317265034,0.02186119183897972,167,0.00683204798694805
0,histology_ihc,5,predict_pair_full,1.0624194964766502,0.022018052637577057,168,0.0078086608024658674
0,histology_ihc,5,manual_global,1.7480400800704956,1.533515751361847e-05,304,0.007808990138154927
0,retina_cc0,3,predict_pair_full,1.3814657125622034,0.02114470861852169,180,0.0006988302359903102
0,retina_cc0,3,manual_global,2.332889238372445,1.996941864490509e-05,317,0.0006989219225861421
0,retina_cc0,4,manual_global,2.388338588178158,2.051517367362976e-05,317,0.0007324239019168637
0,retina_cc0,4,predict_pair_full,1.4960820581763983,0.025341063737869263,180,0.0007323548685283412
0,retina_cc0,5,predict_pair_full,1.4108283277601004,0.03216662257909775,180,0.0008380413073767593
0,retina_cc0,5,manual_global,2.413633320480585,2.1085143089294434e-05,322,0.000838108330401972
1,histology_ihc,3,manual_global,2.8283351957798004,2.1841377019882202e-05,365,0.005232580163285997
1,histology_ihc,3,predict_pair_full,1.6283596362918615,0.021905185654759407,184,0.0052322839782276125
1,histology_ihc,4,predict_pair_full,1.2257281076163054,0.02218310721218586,167,0.00683204798694805
1,histology_ihc,4,manual_global,2.115194560959935,1.7520040273666382e-05,324,0.0068323482623073506
1,histology_ihc,5,manual_global,1.7356717605143785,1.675821840763092e-05,304,0.007808990138154927
1,histology_ihc,5,predict_pair_full,1.0623776130378246,0.02265729196369648,168,0.0078086608024658674
1,retina_cc0,3,manual_global,2.324843145906925,1.9492581486701965e-05,317,0.0006989219225861421
1,retina_cc0,3,predict_pair_full,1.3679718933999538,0.021759312599897385,180,0.0006988302359903102
1,retina_cc0,4,predict_pair_full,1.3727250676602125,0.0227994192391634,180,0.0007323548685283412
1,retina_cc0,4,manual_global,2.319868454709649,2.084299921989441e-05,317,0.0007324239019168637
1,retina_cc0,5,manual_global,2.373658550903201,2.0118430256843567e-05,322,0.000838108330401972
